id,name,localized_city,localized_neighborhood,city,public_address,lat,lng,preview_amenities,reviews_count,person_capacity,bathrooms,bedrooms,beds,guest_label,property_type_id,room_and_property_type,room_type,tier_id,kicker_content_messages,picture_count,star_rationg,user_first_name,user_has_profile_pic,user_is_superhost,cancel_policy,room_type_category,can_instant_book,night_cost,night_cost_with_fees,monthly_price_factor,rate_type,fees,link
40930448,Donaldsons lake fishery & Campsite Holywood,Ards And North Down,0,Ards And North Down,"Ards And North Down, Northern Ireland, United Kingdom",54.62919,-5.81607,Free parking,12,16,0.5,0,1,16 guests,58,Campsite,Entire home/apt,0,Campsite,184,5.0, ,True,False,CANCEL_FLEXIBLE,entire_home,False,10.0,10.0,0.75,nightly,0.0,https://www.airbnb.co.uk/rooms/40930448?&check_in=2022-02-15&check_out=2022-02-16
50949160,SIngle Room - Lisburn Road - Central,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.57952,-5.95089,"Free parking,Wifi,Kitchen,Washer",1,1,1.5,1,1,1 guest,2,Private room in residential home,Private room,0,Private room,4,0.0, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,private_room,False,11.0,11.0,0.6,nightly,0.0,https://www.airbnb.co.uk/rooms/50949160?&check_in=2022-02-15&check_out=2022-02-16
11853079,Nice clean room in an arty house,Belfast (Dunmurry),0,Belfast (Dunmurry),"Belfast (Dunmurry), Northern Ireland, United Kingdom",54.54218,-6.01858,"Free parking,Wifi,Kitchen,Washer",97,1,1.0,1,1,1 guest,2,Private room in residential home,Private room,0,Private room,4,4.5, ,True,False,CANCEL_FLEXIBLE,private_room,True,12.0,12.0,0.9,nightly,0.0,https://www.airbnb.co.uk/rooms/11853079?&check_in=2022-02-15&check_out=2022-02-16
7903849,Room in modern home,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.54146,-6.01902,"Free parking,Wifi,Kitchen,Washer",282,1,1.0,1,1,1 guest,2,Private room in residential home,Private room,0,Private room,5,4.5, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,private_room,False,12.0,12.0,0.8,nightly,0.0,https://www.airbnb.co.uk/rooms/7903849?&check_in=2022-02-15&check_out=2022-02-16
36146848,Room for winter in Belfast,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.58371,-5.94467,"Wifi,Kitchen",2,1,2.0,1,1,1 guest,2,Private room in residential home,Private room,0,Private room,4,0.0, ,True,False,CANCEL_FLEXIBLE,private_room,True,15.0,15.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/36146848?&check_in=2022-02-15&check_out=2022-02-16
45706639,Large double room 12min from Belfast! Ground floor,Dunmurry,0,Dunmurry,"Dunmurry, Northern Ireland, United Kingdom",54.54437,-6.01263,"Free parking,Wifi,Kitchen,Washer",3,2,1.0,1,1,2 guests,2,Private room in residential home,Private room,0,Private room,15,3.5, ,True,False,CANCEL_FLEXIBLE,private_room,True,15.0,15.0,0.73,nightly,0.0,https://www.airbnb.co.uk/rooms/45706639?&check_in=2022-02-15&check_out=2022-02-16
32952134,NO LONGER AVAILABLE,North Down,0,North Down,"North Down, Northern Ireland, United Kingdom",54.66424,-5.64028,"Free parking,Wifi,Kitchen,Washer",1,1,1.0,1,1,1 guest,2,Private room in residential home,Private room,0,Private room,12,0.0, ,True,False,CANCEL_FLEXIBLE,private_room,False,15.0,15.0,0.9,nightly,0.0,https://www.airbnb.co.uk/rooms/32952134?&check_in=2022-02-15&check_out=2022-02-16
54102059,Nice room in Belfast town house,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.59484,-5.90797,"Wifi,Kitchen",0,1,1.0,1,1,1 guest,36,Private room in townhouse,Private room,0,Private room,0,0.0, ,False,False,CANCEL_BETTER_STRICT_WITH_GRACE_PERIOD,private_room,True,17.0,17.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/54102059?&check_in=2022-02-15&check_out=2022-02-16
36673292,The Haven Room 1,Lisburn and Castlereagh,0,Lisburn and Castlereagh,"Lisburn and Castlereagh, Northern Ireland, United Kingdom",54.49726,-6.04949,"Free parking,Wifi,Kitchen,Washer",19,1,1.0,1,1,1 guest,2,Private room in residential home,Private room,0,Private room,11,5.0, ,True,True,CANCEL_BETTER_STRICT_WITH_GRACE_PERIOD,private_room,False,18.0,18.0,0.7,nightly,0.0,https://www.airbnb.co.uk/rooms/36673292?&check_in=2022-02-15&check_out=2022-02-16
42155575,Templemore Town House Small Double room 2,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.59722,-5.90146,"Hosted by a business,Free parking,Wifi,Washer",0,1,2.0,1,0,1 guest,2,Private room in residential home,Private room,0,Private room,9,0.0, ,True,False,CANCEL_MODERATE,private_room,True,19.0,19.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/42155575?&check_in=2022-02-15&check_out=2022-02-16
